Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=2, Input=[BCUPLOAD,999-BC1,999,ENG,HK,999999028,"BANK OF EAST ASIA LTD], Reason=Parsing error at line: 2 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,999-BC1,999,ENG,HK,999999028,"BANK OF EAST ASIA LTD]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=3, Input=[","BEASHKHH], Reason=Parsing error at line: 3 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[","BEASHKHH]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=4, Input=[","10DES VOEUX ROAD], Reason=Parsing error at line: 4 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[","10DES VOEUX ROAD]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=5, Input=[","CENTRAL HONGKONG], Reason=Parsing error at line: 5 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[","CENTRAL HONGKONG]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=6, Input=[","HONG KONG], Reason=Parsing error at line: 6 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[","HONG KONG]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=7, Input=[",N,999999028,DRAWEE,U,,4,], Reason=Parsing error at line: 7 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[",N,999999028,DRAWEE,U,,4,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=8, Input=[BCUPLOAD,999-BC1,999,ENG,PG,999999999,WALKIN,BSP,,,,Y,999999999,"DRAWER], Reason=Parsing error at line: 8 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,999-BC1,999,ENG,PG,999999999,WALKIN,BSP,,,,Y,999999999,"DRAWER]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=9, Input=[",U,,4,], Reason=Parsing error at line: 9 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[",U,,4,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=10, Input=[BCUPLOAD,ICBS005595,999,ENG,PG,000030232,RAUMAI NO.18 LIMITED,"LOT 12, SEC 8, ","AIRCORPS ROAD, LAE 411",MOROBE PROVINCE,PAPUA NEW GUINEA,N,000030232,DRAWEE,,,1,], Reason=Parsing error at line: 10 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005595,999,ENG,PG,000030232,RAUMAI NO.18 LIMITED,"LOT 12, SEC 8, ","AIRCORPS ROAD, LAE 411",MOROBE PROVINCE,PAPUA NEW GUINEA,N,000030232,DRAWEE,,,1,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=11, Input=[BCUPLOAD,ICBS005595,999,ENG,PG,999999999,WALKIN,BSP,,,,Y,999999999,DRAWER,,,1,], Reason=Parsing error at line: 11 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005595,999,ENG,PG,999999999,WALKIN,BSP,,,,Y,999999999,DRAWER,,,1,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=12, Input=[BCUPLOAD,ICBS005698,999,ENG,PG,000492918,BRIAN BELL & COMPANY LIMITED T/A,P O BOX 1228,BOROKO,NATIONAL CAPITAL DISCTRICT,PAPUA NEW GUINEA,N,000492918,DRAWEE,,,2,], Reason=Parsing error at line: 12 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005698,999,ENG,PG,000492918,BRIAN BELL & COMPANY LIMITED T/A,P O BOX 1228,BOROKO,NATIONAL CAPITAL DISCTRICT,PAPUA NEW GUINEA,N,000492918,DRAWEE,,,2,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=13, Input=[BCUPLOAD,ICBS005698,999,ENG,PG,999999999,WALKIN,BSP,,,,Y,999999999,DRAWER,,,2,], Reason=Parsing error at line: 13 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005698,999,ENG,PG,999999999,WALKIN,BSP,,,,Y,999999999,DRAWER,,,2,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=14, Input=[BCUPLOAD,ICBS005619,999,ENG,PG,000084962,NARUWE AGENCIES LIMITED,"LOT 33, SECTION 439",,PORT MORESBY,PAPUA NEW GUINEA,N,000084962,DRAWEE,,,3,], Reason=Parsing error at line: 14 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005619,999,ENG,PG,000084962,NARUWE AGENCIES LIMITED,"LOT 33, SECTION 439",,PORT MORESBY,PAPUA NEW GUINEA,N,000084962,DRAWEE,,,3,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=15, Input=[BCUPLOAD,ICBS005619,999,ENG,PG,999999999,WALKIN,BSP,,,,Y,999999999,DRAWER,,,3,], Reason=Parsing error at line: 15 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005619,999,ENG,PG,999999999,WALKIN,BSP,,,,Y,999999999,DRAWER,,,3,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=16, Input=[BCUPLOAD,ICBS005458,999,ENG,PG,000295906,Arawa Secondary School,Arawa Bougainville Region ,P O Box 20 ARAWA,PNG,PNG,N,000295906,DRAWEE,,,1,], Reason=Parsing error at line: 16 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005458,999,ENG,PG,000295906,Arawa Secondary School,Arawa Bougainville Region ,P O Box 20 ARAWA,PNG,PNG,N,000295906,DRAWEE,,,1,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=17, Input=[BCUPLOAD,ICBS005458,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,1,], Reason=Parsing error at line: 17 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005458,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,1,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=18, Input=[BCUPLOAD,ICBS005459,999,ENG,PG,000295906,Arawa Secondary School,Arawa Bougainville Region,",P O Box 20 ARAWA",PNG,PNG,N,000295906,DRAWEE,,,2,], Reason=Parsing error at line: 18 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005459,999,ENG,PG,000295906,Arawa Secondary School,Arawa Bougainville Region,",P O Box 20 ARAWA",PNG,PNG,N,000295906,DRAWEE,,,2,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=19, Input=[BCUPLOAD,ICBS005459,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,2,], Reason=Parsing error at line: 19 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS005459,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,2,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=20, Input=[BCUPLOAD,ICBS006412,999,ENG,PG,002645528,Wereili High School,"PO BOX 606, MAPRIK, EAST SEPIK PROVINCE,M PNG",,,PNG,N,002645528,DRAWEE,,,3,], Reason=Parsing error at line: 20 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS006412,999,ENG,PG,002645528,Wereili High School,"PO BOX 606, MAPRIK, EAST SEPIK PROVINCE,M PNG",,,PNG,N,002645528,DRAWEE,,,3,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=21, Input=[BCUPLOAD,ICBS006412,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,3,], Reason=Parsing error at line: 21 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS006412,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,3,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=22, Input=[BCUPLOAD,ICBS006413,999,ENG,PG,002645528,Wereili High School,"PO BOX 606, MAPRIK, EAST SEPIK PROVINCE,M PNG",,,PNG,N,0002645528,DRAWEE,,,4,], Reason=Parsing error at line: 22 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS006413,999,ENG,PG,002645528,Wereili High School,"PO BOX 606, MAPRIK, EAST SEPIK PROVINCE,M PNG",,,PNG,N,0002645528,DRAWEE,,,4,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=23, Input=[BCUPLOAD,ICBS006413,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,4,], Reason=Parsing error at line: 23 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS006413,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,4,]
Wed Jul 23 12:26:44 IST 2025 --> READ SKIPPED: Line=24, Input=[BCUPLOAD,ICBS006429,999,ENG,PG,000345800,Bialla Secondary School,P O BOX 62 BIALLA,,,PNG,N,000345800,DRAWEE,,,5,], Reason=Parsing error at line: 24 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS006429,999,ENG,PG,000345800,Bialla Secondary School,P O BOX 62 BIALLA,,,PNG,N,000345800,DRAWEE,,,5,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=25, Input=[BCUPLOAD,ICBS006429,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,5,], Reason=Parsing error at line: 25 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS006429,999,ENG,SG,999999999,,,,,,Y,999999999,DRAWER,,,5,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=26, Input=[BCUPLOAD,ICBS007035,999,ENG,PG,000132856,Outspan PNG Ltd,"SECTION 68, LOT 39, MALAGUNA RD, RABAUL, ENBP PNG",,,PNG,N,000132856,DRAWEE,,,6,], Reason=Parsing error at line: 26 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007035,999,ENG,PG,000132856,Outspan PNG Ltd,"SECTION 68, LOT 39, MALAGUNA RD, RABAUL, ENBP PNG",,,PNG,N,000132856,DRAWEE,,,6,]
Wed Jul 23 12:26:45 IST 2025 --> READ SKIPPED: Line=27, Input=[BCUPLOAD,ICBS007035,999,ENG,BD,999999999,,,,,,Y,999999999,DRAWER,,,6,], Reason=Parsing error at line: 27 in resource=[file [C:\Users\2942\Downloads\BCTB_UPLOAD_PARTIES.csv]], input=[BCUPLOAD,ICBS007035,999,ENG,BD,999999999,,,,,,Y,999999999,DRAWER,,,6,]
